,delito,categoria,calidad,competencia,año,mes,fecha,hora,alcaldia,colonia
0,LESIONES CULPOSAS POR TRANSITO VEHICULAR EN COLISION,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2022,Diciembre,2022-12-31,22:08:00,COYOACAN,INSURGENTES CUICUILCO
16,DAÑO EN PROPIEDAD AJENA CULPOSA POR TRÁNSITO VEHICULAR A VIAS DE COMUNICACION,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2022,Enero,2022-01-01,02:00:00,TLALPAN,ARENAL PUERTA TEPEPAN
37,ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,VICTIMA,FUERO COMUN,2023,Enero,2023-01-01,06:48:00,COYOACAN,DE LA CANDELARIA (PBLO)
47,DAÑO EN PROPIEDAD AJENA CULPOSA POR TRÁNSITO VEHICULAR A AUTOMOVIL,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Enero,2023-01-01,09:40:00,TLALPAN,ISIDRO FABELA II (ORIENTE)
62,AMENAZAS,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2022,Noviembre,2022-11-14,12:00:00,MIGUEL HIDALGO,"BOSQUE DE CHAPULTEPEC I, II Y III SECCIONES"
66,ROBO A NEGOCIO CON VIOLENCIA,ROBO A NEGOCIO CON VIOLENCIA,OFENDIDO,FUERO COMUN,2022,Diciembre,2022-12-29,18:45:00,TLAHUAC,SANTIAGO TULYEHUALCO (PBLO)
68,ROBO A NEGOCIO SIN VIOLENCIA POR FARDEROS (TIENDAS DE AUTOSERVICIO),DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Enero,2023-01-01,10:30:00,AZCAPOTZALCO,EL ROSARIO C (U HAB)
78,ROBO DE OBJETOS,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Enero,2023-01-01,09:30:00,IZTAPALAPA,GRANJAS ESTRELLA I
83,ROBO A NEGOCIO CON VIOLENCIA,ROBO A NEGOCIO CON VIOLENCIA,OFENDIDO,FUERO COMUN,2022,Diciembre,2022-12-30,19:10:00,TLAHUAC,SAN PEDRO TLAHUAC (PBLO)
89,ROBO A NEGOCIO CON VIOLENCIA,ROBO A NEGOCIO CON VIOLENCIA,OFENDIDO,FUERO COMUN,2023,Enero,2023-01-01,11:23:00,CUAUHTEMOC,DOCTORES I
100,ATAQUE A LAS VIAS GENERALES DE COMUNICACIÓN,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2022,Abril,2022-04-08,12:00:00,IZTAPALAPA,LEYES DE REFORMA 1A SECCION
109,ROBO A NEGOCIO CON VIOLENCIA,ROBO A NEGOCIO CON VIOLENCIA,OFENDIDO,FUERO COMUN,2022,Diciembre,2022-12-30,20:20:00,TLAHUAC,SAN PEDRO TLAHUAC (PBLO)
123,ROBO DE OBJETOS,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Enero,2023-01-01,02:00:00,LA MAGDALENA CONTRERAS,SAN JERONIMO ACULCO - LIDICE (PBLO)
127,USURPACIÓN DE IDENTIDAD,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2018,Diciembre,2018-12-01,00:00:00,CUAUHTEMOC,ROMA NORTE II
133,ENCUBRIMIENTO,DELITO DE BAJO IMPACTO,VICTIMA,FUERO COMUN,2023,Enero,2023-01-01,12:03:00,IZTAPALAPA,PASEOS DE CHURUBUSCO
146,ROBO A REPARTIDOR Y VEHICULO SIN VIOLENCIA,ROBO A REPARTIDOR CON Y SIN VIOLENCIA,OFENDIDO,FUERO COMUN,2022,Diciembre,2022-12-31,19:00:00,AZCAPOTZALCO,FERRERIA (U HAB)
154,ROBO DE OBJETOS,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Enero,2023-01-01,16:00:00,CUAUHTEMOC,CUAUHTEMOC
156,DAÑO EN PROPIEDAD AJENA CULPOSA POR TRÁNSITO VEHICULAR A AUTOMOVIL,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Enero,2023-01-01,11:13:00,TLAHUAC,SAN FRANCISCO TLALTENCO (PBLO)
158,ROBO A NEGOCIO SIN VIOLENCIA POR FARDEROS (TIENDAS DE AUTOSERVICIO),DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Enero,2023-01-01,15:59:00,MIGUEL HIDALGO,SAN MIGUEL CHAPULTEPEC II
171,ROBO A NEGOCIO SIN VIOLENCIA POR FARDEROS (TIENDAS DE AUTOSERVICIO),DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Enero,2023-01-01,16:40:00,COYOACAN,CHIMALISTAC
176,ROBO DE DOCUMENTOS,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2021,Mayo,2021-05-04,10:00:00,MIGUEL HIDALGO,ESCANDON II
200,USO DE DOCUMENTO FALSO,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2022,Diciembre,2022-12-06,12:00:00,CUAUHTEMOC,DOCTORES I
238,FALSEDAD ANTE AUTORIDADES,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2022,Noviembre,2022-11-08,10:00:00,GUSTAVO A. MADERO,ZONA ESCOLAR II
269,ROBO DE FLUIDOS,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Enero,2023-01-01,09:23:00,MIGUEL HIDALGO,TACUBA
270,FRAUDE,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2022,Septiembre,2022-09-06,12:00:00,BENITO JUAREZ,DEL VALLE II
275,ROBO DE OBJETOS,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Enero,2023-01-01,22:34:00,IZTAPALAPA,PASEOS DE CHURUBUSCO
301,DAÑO EN PROPIEDAD AJENA INTENCIONAL,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Enero,2023-01-02,02:25:00,GUSTAVO A. MADERO,SANTIAGO ATZACOALCO (PBLO)
305,ROBO A NEGOCIO CON VIOLENCIA,ROBO A NEGOCIO CON VIOLENCIA,OFENDIDO,FUERO COMUN,2022,Diciembre,2022-12-31,21:00:00,CUAJIMALPA DE MORELOS,BOSQUES DE LAS LOMAS
308,ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,VICTIMA,FUERO COMUN,2022,Enero,2022-01-02,03:50:00,BENITO JUAREZ,DEL VALLE IV
335,ROBO DE OBJETOS,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Enero,2023-01-02,06:10:00,CUAJIMALPA DE MORELOS,EL CONTADERO
336,ROBO DE OBJETOS,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Enero,2023-01-01,13:00:00,IZTAPALAPA,ALVARO OBREGON
341,ROBO DE ANIMALES,DELITO DE BAJO IMPACTO,VICTIMA,FUERO COMUN,2022,Diciembre,2022-12-30,20:00:00,CUAUHTEMOC,CENTRO VI
344,ROBO DE OBJETOS,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2022,Diciembre,2022-12-17,21:00:00,AZCAPOTZALCO,EL JAGUEY-ESTACION PANTACO
357,ROBO A NEGOCIO SIN VIOLENCIA,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2022,Diciembre,2022-12-29,23:00:00,IZTACALCO,CARLOS ZAPATA VELA
359,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,OFENDIDO,FUERO COMUN,2022,Diciembre,2022-12-30,23:30:00,GUSTAVO A. MADERO,MAGDALENA DE LAS SALINAS
382,ROBO A NEGOCIO SIN VIOLENCIA,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2022,Diciembre,2022-12-20,14:30:00,CUAUHTEMOC,ROMA NORTE III
385,ROBO A NEGOCIO SIN VIOLENCIA,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2022,Diciembre,2022-12-28,20:10:00,IZTACALCO,MILITAR MARTE
386,ENCUBRIMIENTO,DELITO DE BAJO IMPACTO,VICTIMA,FUERO COMUN,2023,Enero,2023-01-02,10:55:00,GUSTAVO A. MADERO,CONSTITUCION DE LA REPUBLICA
388,NARCOMENUDEO POSESION SIMPLE,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2022,Diciembre,2022-12-30,17:15:00,GUSTAVO A. MADERO,EL CARMEN
391,ROBO DE OBJETOS,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2022,Octubre,2022-10-16,20:34:00,ALVARO OBREGON,ALFALFAR
403,ROBO A CASA HABITACION SIN VIOLENCIA,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Enero,2023-01-01,22:30:00,AZCAPOTZALCO,PATRIMONIO FAMILIAR
406,ROBO A NEGOCIO SIN VIOLENCIA POR FARDEROS (TIENDAS DE AUTOSERVICIO),DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Enero,2023-01-02,11:05:00,IZTAPALAPA,EL RETOO
411,FRAUDE,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2022,Diciembre,2022-12-31,17:48:00,AZCAPOTZALCO,INDUSTRIAL VALLEJO (U HAB)
415,ROBO A NEGOCIO SIN VIOLENCIA POR FARDEROS (TIENDAS DE AUTOSERVICIO),DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Enero,2023-01-02,11:35:00,AZCAPOTZALCO,VICTORIA DE LAS DEMOCRACIAS
421,ROBO DE OBJETOS A ESCUELA,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Enero,2023-01-02,07:20:00,LA MAGDALENA CONTRERAS,TIERRA UNIDA
423,ROBO A TRANSEUNTE EN VIA PUBLICA SIN VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,OFENDIDO,FUERO COMUN,2022,Diciembre,2022-12-30,16:25:00,BENITO JUAREZ,ALAMOS I
427,NARCOMENUDEO POSESION SIMPLE,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Enero,2023-01-02,11:50:00,TLALPAN,PARAJE 38
431,FRAUDE,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2022,Noviembre,2022-11-09,18:11:00,ALVARO OBREGON,GUADALUPE INN
435,ROBO A NEGOCIO SIN VIOLENCIA,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Enero,2023-01-02,07:00:00,CUAUHTEMOC,ALGARIN
436,FRAUDE,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2022,Diciembre,2022-12-30,00:00:00,CUAJIMALPA DE MORELOS,PALO ALTO (GRANJAS)
449,ROBO A TRANSEUNTE EN NEGOCIO CON VIOLENCIA,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Enero,2023-01-01,17:30:00,AZCAPOTZALCO,NEXTENGO (BARR)
450,ROBO DE OBJETOS,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2022,Enero,2022-01-02,09:00:00,IZTAPALAPA,LEYES DE REFORMA 3A SECCION I
458,ROBO DE OBJETOS DEL INTERIOR DE UN VEHICULO,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2022,Diciembre,2022-12-31,12:30:00,IZTACALCO,PANTITLAN V
466,ROBO DE OBJETOS,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Enero,2023-01-02,10:30:00,IZTAPALAPA,SANTA MARTHA ACATITLA
470,ROBO DE VEHICULO DE PEDALES,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2022,Noviembre,2022-11-08,14:00:00,CUAUHTEMOC,DOCTORES I
475,ROBO A NEGOCIO SIN VIOLENCIA POR FARDEROS (TIENDAS DE AUTOSERVICIO),DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2022,Diciembre,2022-12-27,17:55:00,IZTACALCO,MILITAR MARTE
492,ENCUBRIMIENTO,DELITO DE BAJO IMPACTO,VICTIMA,FUERO COMUN,2023,Enero,2023-01-02,13:10:00,VENUSTIANO CARRANZA,MORELOS I
499,ROBO A NEGOCIO SIN VIOLENCIA POR FARDEROS,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Enero,2023-01-02,14:05:00,CUAUHTEMOC,CENTRO IV
513,ROBO A NEGOCIO SIN VIOLENCIA,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Enero,2023-01-02,13:55:00,COYOACAN,LOS REYES (PBLO)
516,"NARCOMENUDEO POSESIÓN CON FINES DE VENTA, COMERCIO Y SUMINISTRO",DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Enero,2023-01-02,13:30:00,VENUSTIANO CARRANZA,KENNEDY (U HAB)
526,ROBO A PASAJERO / CONDUCTOR DE VEHICULO CON VIOLENCIA,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Enero,2023-01-02,11:28:00,GUSTAVO A. MADERO,SAN BARTOLO ATEPEHUACAN (PBLO)
539,NARCOMENUDEO POSESION SIMPLE,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Enero,2023-01-02,12:30:00,TLAHUAC,SAN PEDRO TLAHUAC (PBLO)
544,ROBO A NEGOCIO SIN VIOLENCIA POR FARDEROS,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2022,Diciembre,2022-12-23,19:30:00,COYOACAN,JARDINES DEL PEDREGAL
547,ROBO DE OBJETOS DEL INTERIOR DE UN VEHICULO,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2022,Diciembre,2022-12-31,17:00:00,IZTACALCO,MILITAR MARTE
548,ENCUBRIMIENTO,DELITO DE BAJO IMPACTO,VICTIMA,FUERO COMUN,2023,Enero,2023-01-02,14:40:00,ALVARO OBREGON,SANTA ROSA XOCHIAC (PBLO)
552,ROBO DE OBJETOS,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2022,Diciembre,2022-12-22,01:00:00,IZTACALCO,AGRICOLA ORIENTAL VII
555,ROBO A NEGOCIO CON VIOLENCIA,ROBO A NEGOCIO CON VIOLENCIA,OFENDIDO,FUERO COMUN,2023,Enero,2023-01-02,15:00:00,IZTAPALAPA,CONSTITUCION DE 1917 II
563,ROBO DE OBJETOS,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2022,Diciembre,2022-12-26,09:45:00,ALVARO OBREGON,ALPES (AMPL)
567,ROBO A NEGOCIO SIN VIOLENCIA POR FARDEROS (TIENDAS DE AUTOSERVICIO),DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2022,Octubre,2022-10-09,17:00:00,IZTAPALAPA,CONSTITUCION DE 1917 II
571,ROBO A NEGOCIO SIN VIOLENCIA,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2022,Junio,2022-06-20,14:00:00,COYOACAN,PEDREGAL DE STO DOMINGO II
574,ROBO DE OBJETOS,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2022,Diciembre,2022-12-19,15:00:00,ALVARO OBREGON,LOMAS DE SAN ANGEL INN
580,ROBO DE OBJETOS DEL INTERIOR DE UN VEHICULO,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2022,Noviembre,2022-11-24,12:54:00,IZTACALCO,AGRICOLA ORIENTAL V
599,"NARCOMENUDEO POSESIÓN CON FINES DE VENTA, COMERCIO Y SUMINISTRO",DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Enero,2023-01-02,16:17:00,VENUSTIANO CARRANZA,MORELOS II
603,ROBO A NEGOCIO SIN VIOLENCIA POR FARDEROS,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Enero,2023-01-02,16:10:00,BENITO JUAREZ,XOCO
608,ROBO DE DINERO,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2022,Diciembre,2022-12-30,18:00:00,CUAUHTEMOC,CENTRO VII
611,NARCOMENUDEO POSESION SIMPLE,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Enero,2023-01-02,16:25:00,GUSTAVO A. MADERO,FERNANDO CASAS ALEMAN
623,ROBO DE OBJETOS DEL INTERIOR DE UN VEHICULO,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2022,Diciembre,2022-12-30,05:30:00,IZTACALCO,AGRICOLA ORIENTAL V
627,ROBO A NEGOCIO SIN VIOLENCIA POR FARDEROS (TIENDAS DE AUTOSERVICIO),DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Enero,2023-01-02,16:35:00,COYOACAN,INSURGENTES CUICUILCO
634,ROBO A PASAJERO A BORDO DE METRO SIN VIOLENCIA,ROBO A PASAJERO A BORDO DEL METRO CON Y SIN VIOLENCIA,OFENDIDO,FUERO COMUN,2022,Diciembre,2022-12-24,12:20:00,ALVARO OBREGON,ALPES
652,ROBO A NEGOCIO SIN VIOLENCIA,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2022,Diciembre,2022-12-19,06:30:00,COYOACAN,PEDREGAL DE STO DOMINGO I
656,LESIONES INTENCIONALES POR GOLPES,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2022,Diciembre,2022-12-21,09:30:00,AZCAPOTZALCO,SANTO TOMAS
665,ROBO DE OBJETOS,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2022,Diciembre,2022-12-29,18:00:00,GUSTAVO A. MADERO,BONDOJITO
683,"NARCOMENUDEO POSESIÓN CON FINES DE VENTA, COMERCIO Y SUMINISTRO",DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Enero,2023-01-02,17:52:00,CUAUHTEMOC,CENTRO I
684,"NARCOMENUDEO POSESIÓN CON FINES DE VENTA, COMERCIO Y SUMINISTRO",DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Enero,2023-01-02,18:05:00,VENUSTIANO CARRANZA,MORELOS I
687,ROBO DE OBJETOS,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2022,Septiembre,2022-09-21,03:22:00,CUAUHTEMOC,OBRERA IV
690,ROBO A NEGOCIO SIN VIOLENCIA,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Enero,2023-01-01,22:45:00,BENITO JUAREZ,MERCED GOMEZ
691,ROBO DE OBJETOS,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Enero,2023-01-02,09:00:00,BENITO JUAREZ,XOCO
705,NARCOMENUDEO POSESION SIMPLE,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Enero,2023-01-02,17:00:00,ALVARO OBREGON,LOMAS DE LA ERA
707,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,OFENDIDO,FUERO COMUN,2022,Diciembre,2022-12-31,14:00:00,IZTAPALAPA,VICENTE GUERRERO SUPER MANZANA 7 (U HAB)
724,NARCOMENUDEO POSESION SIMPLE,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Enero,2023-01-02,18:40:00,VENUSTIANO CARRANZA,AERONAUTICA MILITAR
726,ROBO A PASAJERO A BORDO DE PESERO COLECTIVO CON VIOLENCIA,ROBO A PASAJERO A BORDO DE MICROBUS CON Y SIN VIOLENCIA,OFENDIDO,FUERO COMUN,2022,Diciembre,2022-12-31,10:00:00,IZTAPALAPA,JUAN ESCUTIA I
742,ROBO A NEGOCIO SIN VIOLENCIA POR FARDEROS (TIENDAS DE CONVENIENCIA),DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Enero,2023-01-02,17:45:00,GUSTAVO A. MADERO,NUEVA ATZACOALCO II
748,ROBO DE FLUIDOS,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Enero,2023-01-01,11:52:00,TLALPAN,JARDINES DEL AJUSCO
749,ROBO A NEGOCIO CON VIOLENCIA,ROBO A NEGOCIO CON VIOLENCIA,OFENDIDO,FUERO COMUN,2022,Diciembre,2022-12-28,19:10:00,GUSTAVO A. MADERO,SANTA ROSA
750,ROBO A NEGOCIO SIN VIOLENCIA POR FARDEROS (TIENDAS DE AUTOSERVICIO),DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Enero,2023-01-02,19:59:00,MIGUEL HIDALGO,SAN MIGUEL CHAPULTEPEC II
752,"NARCOMENUDEO POSESIÓN CON FINES DE VENTA, COMERCIO Y SUMINISTRO",DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Enero,2023-01-02,18:45:00,TLAHUAC,LA HABANA
753,FRAUDE,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Enero,2023-01-02,08:21:00,MIGUEL HIDALGO,TACUBA
765,"ROBO S/V DENTRO DE NEGOCIOS, AUTOSERVICIOS, CONVENIENCIA",DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2022,Diciembre,2022-12-09,11:30:00,CUAUHTEMOC,CENTRO IV
766,ROBO DE OBJETOS,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2022,Diciembre,2022-12-24,17:10:00,IZTAPALAPA,LEYES DE REFORMA 3A SECCION II
784,ROBO DE OBJETOS,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2022,Enero,2022-01-01,19:30:00,IZTAPALAPA,SANTA MARTHA ACATITLA_(PBLO)
814,ROBO A NEGOCIO SIN VIOLENCIA,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2022,Diciembre,2022-12-31,06:17:00,COYOACAN,PARQUE SAN ANDRES
817,FRAUDE,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2022,Diciembre,2022-12-26,05:08:00,BENITO JUAREZ,SAN JOSE INSURGENTES
835,NARCOMENUDEO POSESION SIMPLE,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Enero,2023-01-02,22:30:00,COYOACAN,CARMEN SERDAN
846,ROBO A NEGOCIO SIN VIOLENCIA,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Enero,2023-01-01,12:10:00,CUAUHTEMOC,DOCTORES I
859,ROBO DE FLUIDOS,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Enero,2023-01-01,11:52:00,TLALPAN,JARDINES DEL AJUSCO
864,ROBO DE OBJETOS DEL INTERIOR DE UN VEHICULO,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2022,Diciembre,2022-12-22,07:50:00,BENITO JUAREZ,GENERAL PEDRO MARIA ANAYA
868,ROBO A NEGOCIO SIN VIOLENCIA,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2022,Diciembre,2022-12-31,19:08:00,CUAUHTEMOC,DOCTORES III
873,ABUSO DE CONFIANZA,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2022,Enero,2022-01-13,00:00:00,AZCAPOTZALCO,SAN BARTOLO CAHUALTONGO (PBLO)
884,LA ADMINISTRACION DE JUSTICIA,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2021,Noviembre,2021-11-08,12:00:00,IZTAPALAPA,LOMAS DE SAN LORENZO II
891,ROBO DE OBJETOS A ESCUELA,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Enero,2023-01-03,00:10:00,TLALPAN,MIGUEL HIDALGO
898,ROBO A REPARTIDOR Y VEHICULO CON VIOLENCIA,ROBO A REPARTIDOR CON Y SIN VIOLENCIA,OFENDIDO,FUERO COMUN,2023,Enero,2023-01-02,16:30:00,IZTAPALAPA,LOMAS DE SAN LORENZO I
906,ROBO A NEGOCIO CON VIOLENCIA,ROBO A NEGOCIO CON VIOLENCIA,OFENDIDO,FUERO COMUN,2023,Enero,2023-01-01,09:30:00,VENUSTIANO CARRANZA,20 DE NOVIEMBRE
909,ROBO A NEGOCIO SIN VIOLENCIA POR FARDEROS,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Enero,2023-01-02,19:30:00,IZTAPALAPA,JUAN ESCUTIA I
918,ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Enero,2023-01-02,19:00:00,CUAUHTEMOC,NONOALCO-TLATELOLCO (U HAB) II
923,ROBO A NEGOCIO SIN VIOLENCIA POR FARDEROS (TIENDAS DE AUTOSERVICIO),DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Enero,2023-01-03,01:35:00,TLALPAN,NUEVA ORIENTAL COAPA-EX HACIENDA COAPA
928,ROBO DE OBJETOS DEL INTERIOR DE UN VEHICULO,DELITO DE BAJO IMPACTO,VICTIMA,FUERO COMUN,2023,Enero,2023-01-03,02:20:00,TLALPAN,NARCISO MENDOZA-VILLA COAPA SUPER MANZANA 2 (U HAB)
942,ABUSO DE AUTORIDAD Y USO ILEGAL DE LA FUERZA PUBLICA,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2022,Diciembre,2022-12-02,09:00:00,MIGUEL HIDALGO,OBSERVATORIO
945,USURPACIÓN DE IDENTIDAD,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2022,Noviembre,2022-11-08,09:00:00,ALVARO OBREGON,LOMAS DE SAN ANGEL INN
947,DAÑO EN PROPIEDAD AJENA INTENCIONAL,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2022,Noviembre,2022-11-01,15:50:00,ALVARO OBREGON,FLORIDA
965,ROBO A PASAJERO A BORDO DE PESERO COLECTIVO SIN VIOLENCIA,ROBO A PASAJERO A BORDO DE MICROBUS CON Y SIN VIOLENCIA,OFENDIDO,FUERO COMUN,2023,Enero,2023-01-02,14:30:00,TLALPAN,SAN LORENZO HUIPULCO
966,FRAUDE,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2022,Diciembre,2022-12-28,00:00:00,CUAUHTEMOC,CUAUHTEMOC
969,FRAUDE,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2022,Diciembre,2022-12-28,00:00:00,CUAUHTEMOC,CUAUHTEMOC
976,ROBO A NEGOCIO SIN VIOLENCIA POR FARDEROS,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Enero,2023-01-03,08:40:00,COYOACAN,LOS REYES (PBLO)
988,QUEBRANTAMIENTO DE SELLOS,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2022,Diciembre,2022-12-13,10:00:00,VENUSTIANO CARRANZA,ADOLFO LOPEZ MATEOS
1036,ROBO A NEGOCIO CON VIOLENCIA,ROBO A NEGOCIO CON VIOLENCIA,OFENDIDO,FUERO COMUN,2022,Noviembre,2022-11-29,23:05:00,BENITO JUAREZ,SAN PEDRO DE LOS  PINOS
1048,ROBO A NEGOCIO CON VIOLENCIA,ROBO A NEGOCIO CON VIOLENCIA,OFENDIDO,FUERO COMUN,2023,Enero,2023-01-03,11:45:00,TLALPAN,LA FAMA
