,delito,categoria,calidad,competencia,año,mes,fecha,hora,alcaldia,colonia
55276,ROBO A NEGOCIO SIN VIOLENCIA POR FARDEROS (TIENDAS DE AUTOSERVICIO),DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Marzo,2023-03-20,17:00:00,CUAUHTEMOC,BUENAVISTA II
55297,ROBO A NEGOCIO SIN VIOLENCIA POR FARDEROS (TIENDAS DE AUTOSERVICIO),DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Marzo,2023-03-20,16:20:00,IZTAPALAPA,DR ALFONSO ORTIZ TIRADO
55299,ROBO A NEGOCIO SIN VIOLENCIA POR FARDEROS (TIENDAS DE AUTOSERVICIO),DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Marzo,2023-03-20,17:10:00,MIGUEL HIDALGO,LOMAS VIRREYES (LOMAS DE CHAPULTEPEC)
55309,ROBO A NEGOCIO SIN VIOLENCIA POR FARDEROS (TIENDAS DE AUTOSERVICIO),DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Marzo,2023-03-20,17:15:00,IZTAPALAPA,EL VERGEL
55319,ROBO A NEGOCIO SIN VIOLENCIA POR FARDEROS,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Marzo,2023-03-15,09:50:00,COYOACAN,PARQUE SAN ANDRES
55325,ROBO DE OBJETOS,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Marzo,2023-03-20,18:00:00,COYOACAN,COPILCO UNIVERSIDAD
55326,"NARCOMENUDEO POSESIÓN CON FINES DE VENTA, COMERCIO Y SUMINISTRO",DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Marzo,2023-03-20,18:18:00,ALVARO OBREGON,MERCED GOMEZ
55329,ROBO A NEGOCIO SIN VIOLENCIA POR FARDEROS,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Marzo,2023-03-20,18:08:00,CUAUHTEMOC,CENTRO IV
55340,ROBO A NEGOCIO SIN VIOLENCIA POR FARDEROS,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Marzo,2023-03-20,18:00:00,CUAUHTEMOC,CENTRO IV
55346,ATAQUE A LAS VIAS GENERALES DE COMUNICACIÓN,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Enero,2023-01-30,12:00:00,GUSTAVO A. MADERO,TRIUNFO DE LA REPUBLICA
